Index;index;age;fak;experience;mitarbeit;hospitation;vortrag;entwurf;refbericht;beratung;litrecherche;kollaustauch;studaustauch;beoblehrender;nachbereit;motiv
1;A;39;5;10;14;-99;1;1;3;-99;2;2;1;1;2;2
2;B;27;3;1;1;2;-99;2;2;-99;1;1;1;2;2;1
3;C;29;4;3;3.5;1;3.5;2;3;5;2;1;1;2;1;1
4;D;45;3;8;11;2;-99;1;3;2;1;1;1;1;1;1
5;E;42;5;2;15;-99;1;2;3;2;2;1;2;1;2;2
6;F;34;4;7;7;-99;2;1;1;2.5;1;1;2;1;1;1
7;G;37;4;1.5;4.5;-99;1;1;3;2;2;1;1;2;1;1
8;H;44;5;13;13;1;-99;2;1.5;1;2;1;1;2;1;1
9;J;37;5;5;11;2;-99;;3;2;2;1;1;2;2;2
10;K;43;1;9;9;-99;3;1.5;3;1;1;1;1;2;1;2
11;L;37;2;8;12;-99;1;1;3;2;2;1;1;2;2;1
